subzone_code,subzone_name,planning_area,latitude,longitude,Total_Total,volunteers_count,hdb_ratio,elderly_ratio,low_income_ratio,AED_count,area_sq_km,area_sq_m,population_density
BMSZ15,TELOK BLANGAH RISE,BUKIT MERAH,1.274034808334735,103.82460278260108,12150.0,0,1.0,0.199,0.13,3,0.533462681705192,533462.681705192,22775.726244173286
DTSZ09,TANJONG PAGAR,DOWNTOWN CORE,1.275884519191568,103.84587860235952,670.0,0,0.0,0.199,0.13,1,0.14551866387207685,145518.66387207684,4604.22039463602
BMSZ16,EVERTON PARK,BUKIT MERAH,1.274949804808943,103.836315892199,7810.0,0,1.0,0.199,0.13,6,0.635704056680503,635704.056680503,12285.590941140099
BMSZ14,TELOK BLANGAH WAY,BUKIT MERAH,1.2773816093970425,103.82047414701732,9230.0,0,1.0,0.199,0.13,1,0.27682681247713004,276826.81247713004,33342.14600604316
DTSZ07,MAXWELL,DOWNTOWN CORE,1.2794151816364674,103.84582665469983,0.0,0,0.8,0.199,0.13,0,0.06366496634732237,63664.96634732237,0.0
DTSZ08,CECIL,DOWNTOWN CORE,1.278642607628731,103.84886506099345,260.0,0,0.0,0.199,0.13,12,0.19661986321639507,196619.86321639508,1322.3485956444304
BMSZ11,KAMPONG TIONG BAHRU,BUKIT MERAH,1.2783572712482043,103.82735076575196,9010.0,0,1.0,0.199,0.13,1,0.3653334262061279,365333.4262061279,24662.402489599706
BMSZ13,TELOK BLANGAH DRIVE,BUKIT MERAH,1.2766547989696886,103.80887984051616,19320.0,0,1.0,0.199,0.13,15,1.455032962620013,1455032.962620013,13278.049704943685
QTSZ14,PASIR PANJANG 2,QUEENSTOWN,1.277584987357489,103.79461533416308,3060.0,0,1.0,0.199,0.13,10,0.8532065732912262,853206.5732912262,3586.4702591262458
DTSZ11,CENTRAL SUBZONE,DOWNTOWN CORE,1.2756736590422952,103.85242000082276,880.0,0,0.0,0.199,0.13,8,1.0707232563415392,1070723.256341539,821.8743683655431
BMSZ05,SINGAPORE GENERAL HOSPITAL,BUKIT MERAH,1.2797252373429953,103.8346413891822,10.0,0,1.0,0.199,0.13,1,0.5330130948470956,533013.0948470955,18.761265148408185
DTSZ01,BUGIS,DOWNTOWN CORE,1.2991457341314865,103.85603679756154,890.0,0,0.0,0.199,0.13,2,0.2801747667068573,280174.7667068573,3176.5887073306417
RCSZ10,VICTORIA,ROCHOR,1.2996636062042934,103.85298961592576,1760.0,0,0.0,0.199,0.13,4,0.21425029814035934,214250.29814035934,8214.69101922552
RVSZ02,PATERSON,RIVER VALLEY,1.3012521817513178,103.83160520655493,240.0,0,0.0,0.199,0.13,1,0.1731217736174037,173121.7736174037,1386.3074238737647
MPSZ04,EAST COAST,MARINE PARADE,1.299691271334154,103.90867526787515,0.0,0,1.0,0.199,0.13,14,0.5917789997517895,591778.9997517895,0.0
QTSZ11,NATIONAL UNIVERSITY OF S'PORE,QUEENSTOWN,1.2959845251975957,103.77661864933738,240.0,0,1.0,0.199,0.13,14,1.7534819973862936,1753481.9973862937,136.87052411016444
RVSZ01,ONE TREE HILL,RIVER VALLEY,1.3017262738114217,103.82716856724952,2070.0,0,0.0,0.199,0.13,4,0.340743341656345,340743.341656345,6074.953629138521
QTSZ03,COMMONWEALTH,QUEENSTOWN,1.3049473759447046,103.7998816749111,7000.0,0,1.0,0.199,0.13,4,0.31053400602054937,310534.0060205494,22541.814629914574
QTSZ10,DOVER,QUEENSTOWN,1.3038619589251688,103.77954944762688,11080.0,0,1.0,0.199,0.13,28,1.3803362492965352,1380336.2492965353,8027.029649947057
TNSZ03,RIDOUT,TANGLIN,1.3034343318263215,103.81146905986962,1520.0,0,0.0,0.199,0.13,7,1.9517604692635229,1951760.469263523,778.7840895115355
NTSZ04,CAIRNHILL,NEWTON,1.3066460686507626,103.8376503825013,3880.0,0,0.0,0.199,0.13,0,0.45153763902410715,451537.63902410713,8592.860627046975
CLSZ08,CLEMENTI WEST,CLEMENTI,1.3025219273598778,103.76309139206336,15260.0,0,0.0,0.199,0.13,7,0.6975017185808277,697501.7185808277,21878.082294978096
NTSZ05,MONK'S HILL,NEWTON,1.308022354616984,103.84160296355266,1030.0,0,0.0,0.199,0.13,20,0.17265481769840732,172654.8176984073,5965.6603489582285
BDSZ07,SIGLAP,BEDOK,1.306590763776463,103.92708615974864,6440.0,0,1.0,0.199,0.13,6,1.0978337046521127,1097833.7046521127,5866.0979096472
CLSZ07,CLEMENTI WOODS,CLEMENTI,1.3040812285179135,103.76831866285038,16000.0,0,0.0,0.199,0.13,6,1.0579964306090195,1057996.4306090195,15122.924366379804
PNSZ05,PIONEER SECTOR,PIONEER,1.300449002041553,103.6614548137725,0.0,0,0.8,0.199,0.13,31,2.7967985789298493,2796798.5789298494,0.0
JESZ11,PENJURU CRESCENT,JURONG EAST,1.3038542316125974,103.74033689421644,10.0,0,0.0,0.199,0.13,28,3.050993132310865,3050993.132310865,3.277621274888239
NTSZ01,ORANGE GROVE,NEWTON,1.31005518288548,103.83033705257913,1790.0,0,0.0,0.199,0.13,3,0.3362214941055622,336221.49410556216,5323.871410309064
KLSZ04,KAMPONG BUGIS,KALLANG,1.3081638861192428,103.87049587307898,920.0,0,1.0,0.199,0.13,15,0.7422030254735683,742203.0254735684,1239.5530177379524
QTSZ12,KENT RIDGE,QUEENSTOWN,1.2850998737440142,103.79256836461492,80.0,0,1.0,0.199,0.13,22,1.8268485606166074,1826848.5606166073,43.7912598365559
BMSZ06,ALEXANDRA NORTH,BUKIT MERAH,1.2922809419446528,103.82027415587204,2620.0,0,1.0,0.199,0.13,3,0.29369504216261016,293695.04216261016,8920.817936549927
QTSZ04,TANGLIN HALT,QUEENSTOWN,1.300870587419264,103.79675555658802,10590.0,0,1.0,0.199,0.13,4,0.5572757036458584,557275.7036458584,19003.161147556166
RCSZ06,MACKENZIE,ROCHOR,1.3062401873869316,103.84841433557844,110.0,0,0.0,0.199,0.13,0,0.05568128248450152,55681.28248450152,1975.5292100288405
RCSZ03,SUNGEI ROAD,ROCHOR,1.3056991013457864,103.85669288319126,2050.0,0,0.0,0.199,0.13,3,0.11632999657267289,116329.99657267288,17622.28195991855
QTSZ08,ONE NORTH,QUEENSTOWN,1.2982462989139003,103.79091120501532,720.0,0,1.0,0.199,0.13,40,2.0034482090642127,2003448.2090642126,359.3803906397479
KLSZ05,TANJONG RHU,KALLANG,1.3005910457830008,103.8759107061609,11110.0,0,1.0,0.199,0.13,29,2.434594027749777,2434594.027749777,4563.389161957587
MPSZ02,KATONG,MARINE PARADE,1.3072650473055665,103.90233511173967,9360.0,0,0.8392094017094017,0.199,0.13,7,1.078992025291727,1078992.0252917272,8674.762908900404
ORSZ02,BOULEVARD,ORCHARD,1.3053727678215412,103.83257213001392,410.0,0,0.0,0.199,0.13,0,0.46055042985172384,460550.42985172383,890.2390996182573
NTSZ06,ISTANA NEGARA,NEWTON,1.3053391290558327,103.8443422082146,60.0,0,0.0,0.199,0.13,5,0.5434836769485173,543483.6769485173,110.39889981035003
RCSZ02,LITTLE INDIA,ROCHOR,1.3067833500558044,103.8540526534276,3270.0,0,0.0,0.199,0.13,2,0.27830354335032653,278303.54335032654,11749.760569464785
PNSZ04,GUL BASIN,PIONEER,1.30337704787048,103.67452040521236,10.0,0,0.0,0.199,0.13,24,1.7705981852295525,1770598.1852295524,5.647808793333611
DTSZ03,MARINA CENTRE,DOWNTOWN CORE,1.2918507513627877,103.85971863230544,10.0,0,0.0,0.199,0.13,9,0.8869548093395082,886954.8093395082,11.274531571057985
MUSZ03,BRAS BASAH,MUSEUM,1.2962611266237731,103.849456501195,10.0,0,0.0,0.199,0.13,1,0.2188077162765516,218807.7162765516,45.70222737191305
ORSZ03,SOMERSET,ORCHARD,1.301103239957552,103.83894851476104,140.0,0,0.0,0.199,0.13,0,0.32943793308719765,329437.93308719766,424.96624079699995
RCSZ09,BENCOOLEN,ROCHOR,1.3020047372600176,103.85128107184504,1310.0,0,0.0,0.199,0.13,2,0.17066430451092263,170664.30451092264,7675.887490088235
TNSZ02,CHATSWORTH,TANGLIN,1.29703459147278,103.82340220194406,6890.0,0,0.0,0.199,0.13,9,1.346164131160646,1346164.131160646,5118.246609393408
RCSZ05,KAMPONG GLAM,ROCHOR,1.3022628967682637,103.85969079958431,120.0,0,0.0,0.199,0.13,1,0.17133439620876773,171334.39620876772,700.3847601843022
RCSZ08,SELEGIE,ROCHOR,1.302153153623915,103.84964812500937,210.0,0,0.0,0.199,0.13,0,0.04962601832965029,49626.01832965029,4231.651199679873
RCSZ07,MOUNT EMILY,ROCHOR,1.3024107030238945,103.84754485629544,1630.0,0,0.0,0.199,0.13,1,0.19399234528978865,193992.34528978865,8402.39339116748
RCSZ04,ROCHOR CANAL,ROCHOR,1.3040353228099175,103.85752347122536,0.0,0,0.8,0.199,0.13,1,0.12017132121184781,120171.32121184781,0.0
QTSZ05,MARGARET DRIVE,QUEENSTOWN,1.2972244324492317,103.80818385969484,16090.0,0,1.0,0.199,0.13,6,1.026561739674254,1026561.7396742539,15673.679797481678
RVSZ04,OXLEY,RIVER VALLEY,1.2971091225645626,103.84053750680106,1490.0,0,0.0,0.199,0.13,4,0.20078663853600018,200786.6385360002,7420.812514538159
DTSZ02,CITY HALL,DOWNTOWN CORE,1.2924357661517758,103.85316804530322,80.0,0,0.0,0.199,0.13,3,0.7105687029503014,710568.7029503013,112.58587616909911
QTSZ06,MEI CHIN,QUEENSTOWN,1.29347230246104,103.8032270069761,15570.0,0,1.0,0.199,0.13,7,0.7486839958732174,748683.9958732175,20796.491024013598
RVSZ03,LEONIE HILL,RIVER VALLEY,1.2979398059789415,103.83406382935466,3120.0,0,0.0,0.199,0.13,7,0.3684829882582529,368482.98825825285,8467.14800796539
QTSZ15,PORT,QUEENSTOWN,1.2766215676879145,103.77561185524053,120.0,0,1.0,0.199,0.13,49,7.606207575212906,7606207.575212906,15.77658758499515
MUSZ01,DHOBY GHAUT,MUSEUM,1.2988498971692009,103.84518027039492,320.0,0,0.0,0.199,0.13,3,0.2219981855162844,221998.1855162844,1441.4532229432425
GLSZ02,MACPHERSON,GEYLANG,1.3273677721500636,103.8852042550787,28360.0,0,1.0,0.199,0.13,11,1.2634094039675243,1263409.4039675244,22447.197172144042
TPSZ07,KIM KEAT,TOA PAYOH,1.331887616347214,103.8586363593519,7960.0,0,1.0,0.199,0.13,0,0.36977055331155967,369770.55331155966,21526.862884868762
BDSZ04,BEDOK NORTH,BEDOK,1.330427053357414,103.9360163651932,81840.0,0,0.7870723362658847,0.199,0.13,29,3.203663493253235,3203663.493253235,25545.754156874216
TPSZ02,TOA PAYOH CENTRAL,TOA PAYOH,1.332641043607604,103.84598592578412,28020.0,0,1.0,0.199,0.13,6,1.1072670357972814,1107267.0357972814,25305.548791872377
JESZ06,JURONG GATEWAY,JURONG EAST,1.333107045234054,103.74268098562932,450.0,0,0.0,0.199,0.13,0,0.5546236756936073,554623.6756936073,811.3609636971125
BTSZ03,HOLLAND ROAD,BUKIT TIMAH,1.3270474790794935,103.7837744520674,10840.0,0,0.2356088560885609,0.199,0.13,45,3.3872430774628617,3387243.077462862,3200.2427201414366
GLSZ03,KAMPONG UBI,GEYLANG,1.3296108811552283,103.8965728774673,11800.0,0,1.0,0.199,0.13,18,1.8780014517463288,1878001.4517463287,6283.275228050189
TPSZ11,SENNETT,TOA PAYOH,1.333255718295128,103.87362325663996,7190.0,0,1.0,0.199,0.13,44,0.867750437353172,867750.437353172,8285.792424295478
TPSZ09,POTONG PASIR,TOA PAYOH,1.3330560428103904,103.86563786027912,11720.0,0,1.0,0.199,0.13,9,0.6391435693010274,639143.5693010275,18337.038128721357
TSSZ03,TUAS NORTH,TUAS,1.3267459179790255,103.65124506111329,30.0,0,0.0,0.199,0.13,37,3.260150856930944,3260150.8569309437,9.202028162660406
TPSZ06,PEI CHUN,TOA PAYOH,1.3367899373115206,103.85860695513064,10360.0,0,1.0,0.199,0.13,3,0.41140393712797035,411403.93712797033,25182.063332508755
TPSZ04,BOON TECK,TOA PAYOH,1.335268641865209,103.85302515915542,14660.0,0,1.0,0.199,0.13,3,0.4186573583136811,418657.3583136811,35016.70210467416
JWSZ06,KIAN TECK,JURONG WEST,1.3315119085096334,103.6979039975387,40.0,0,1.0,0.199,0.13,5,2.098176496413044,2098176.496413044,19.06417313718953
JWSZ07,SAFTI,JURONG WEST,1.3346032252972335,103.68317221386364,0.0,0,1.0,0.199,0.13,18,1.5245513442640657,1524551.3442640656,0.0
RCSZ01,FARRER PARK,ROCHOR,1.3089809489461592,103.85215075887665,2660.0,0,0.0,0.199,0.13,2,0.21810726463851776,218107.26463851775,12195.834028768264
NTSZ03,NEWTON CIRCUS,NEWTON,1.3115847353928238,103.83859519402664,250.0,0,0.0,0.199,0.13,2,0.213518666499547,213518.66649954702,1170.8578181876683
JESZ10,JURONG PORT,JURONG EAST,1.307331791943414,103.71876051471656,0.0,0,0.8,0.199,0.13,23,2.4648566715884477,2464856.671588448,0.0
AMSZ01,ANG MO KIO TOWN CENTRE,ANG MO KIO,1.3727695785265892,103.84681301770922,4810.0,0,1.0,0.199,0.13,1,0.3168820171781264,316882.01717812644,15179.151038085547
AMSZ06,KEBUN BAHRU,ANG MO KIO,1.373466881280018,103.83961008415277,22620.0,0,1.0,0.199,0.13,7,1.046417000052445,1046417.0000524451,21616.62128851721
SGSZ02,SERANGOON NORTH IND ESTATE,SERANGOON,1.3747844873550168,103.86475852851616,10.0,0,1.0,0.199,0.13,24,0.9214309488399591,921430.9488399591,10.852685176886622
THSZ02,TENGAH INDUSTRIAL ESTATE,TENGAH,1.363262623619626,103.71793155644508,0.0,0,0.8,0.199,0.13,22,2.393335332105528,2393335.332105528,0.0
BLSZ03,SAMULUN,BOON LAY,1.3080601145691344,103.702294698127,10.0,0,0.0,0.199,0.13,22,1.9414085397051595,1941408.5397051594,5.150899357596672
