subzone_code,subzone_name,latitude,longitude,Total_Total
BMSZ12,DEPOT ROAD,1.2822220770520967,103.80855947837308,6540
BMSZ02,BUKIT MERAH,1.2820142141128459,103.81858972312693,1110
OTSZ03,CHINATOWN,1.2799694820424425,103.84368741875313,10490
DTSZ04,PHILLIP,1.285276843312479,103.84865417632477,10
DTSZ05,RAFFLES PLACE,1.2837200002417681,103.85100738198909,40
OTSZ04,CHINA SQUARE,1.2843864299599685,103.8468833241059,1430
BMSZ10,TIONG BAHRU,1.2838795305472366,103.83139275944406,12890
DTSZ12,BAYFRONT SUBZONE,1.2833347252444942,103.85853376179685,-
BMSZ04,TIONG BAHRU STATION,1.284029905454372,103.82682636121721,15120
DTSZ06,CLIFFORD PIER,1.285561905806231,103.85469937473908,-
MSSZ01,MARINA SOUTH,1.2805312986428294,103.86562853466461,-
DTSZ13,NICOLL,1.299321500777898,103.8641870281905,290
MESZ01,MARINA EAST,1.2885173871968896,103.87235158783412,-
RVSZ05,INSTITUTION HILL,1.2940158539005695,103.83750039699922,3150
SRSZ01,ROBERTSON QUAY,1.291285963595759,103.83706412860371,3010
WISZ01,JURONG ISLAND AND BUKOM,1.2625323601827072,103.6986386515527,10
MUSZ02,FORT CANNING,1.2940463913430484,103.8460529566889,190
OTSZ01,PEARL'S HILL,1.285601663651388,103.83942254516158,6120
SRSZ03,BOAT QUAY,1.2873546011294492,103.84818906113509,130
BMSZ08,HENDERSON HILL,1.286985554822534,103.8223827838929,13320
BMSZ03,REDHILL,1.2876339561942527,103.817163352372,10620
BMSZ07,ALEXANDRA HILL,1.287505822775538,103.80958651425819,13490
BMSZ09,BUKIT HO SWEE,1.2896716764881981,103.83044381036498,14390
SRSZ02,CLARKE QUAY,1.2895993363513407,103.84457916569038,130
QTSZ13,PASIR PANJANG 1,1.2866226877759497,103.78010107387111,4510
QTSZ07,QUEENSWAY,1.2885191957240625,103.79891178710976,270
MPSZ05,MARINA EAST (MP),1.2922159140462237,103.8846765343044,-
WISZ03,SUDONG,1.1933384837249787,103.72488436744536,-
WISZ02,SEMAKAU,1.2013592429719302,103.77227673394934,-
SISZ02,SOUTHERN GROUP,1.228009451752713,103.84962773958513,-
SISZ01,SENTOSA,1.2497210381292878,103.82966916383963,1940
BMSZ17,CITY TERMINALS,1.2653004199465947,103.8368005527159,20
DTSZ10,ANSON,1.2737179127909748,103.84360995961353,80
SVSZ01,STRAITS VIEW,1.2712516610912177,103.85877319627342,-
BMSZ01,MARITIME SQUARE,1.2686893990414403,103.81362283115517,3620
BMSZ15,TELOK BLANGAH RISE,1.274034808334735,103.82460278260108,12150
DTSZ09,TANJONG PAGAR,1.275884519191568,103.84587860235953,670
BMSZ16,EVERTON PARK,1.274949804808943,103.836315892199,7810
BMSZ14,TELOK BLANGAH WAY,1.2773816093970423,103.82047414701731,9230
DTSZ07,MAXWELL,1.2794151816364674,103.84582665469983,-
DTSZ08,CECIL,1.278642607628731,103.84886506099343,260
BMSZ11,KAMPONG TIONG BAHRU,1.2783572712482043,103.82735076575197,9010
BMSZ13,TELOK BLANGAH DRIVE,1.2766547989696886,103.80887984051617,19320
QTSZ14,PASIR PANJANG 2,1.277584987357489,103.79461533416307,3060
DTSZ11,CENTRAL SUBZONE,1.2756736590422952,103.85242000082276,880
BMSZ05,SINGAPORE GENERAL HOSPITAL,1.2797252373429953,103.8346413891822,10
DTSZ01,BUGIS,1.2991457341314863,103.85603679756154,890
RCSZ10,VICTORIA,1.2996636062042934,103.85298961592576,1760
RVSZ02,PATERSON,1.3012521817513178,103.83160520655493,240
MPSZ04,EAST COAST,1.299691271334154,103.90867526787517,-
QTSZ11,NATIONAL UNIVERSITY OF S'PORE,1.2959845251975957,103.77661864933738,240
RVSZ01,ONE TREE HILL,1.3017262738114217,103.82716856724953,2070
QTSZ03,COMMONWEALTH,1.3049473759447046,103.7998816749111,7000
QTSZ10,DOVER,1.3038619589251688,103.77954944762689,11080
TNSZ03,RIDOUT,1.3034343318263215,103.81146905986962,1520
NTSZ04,CAIRNHILL,1.3066460686507626,103.8376503825013,3880
CLSZ08,CLEMENTI WEST,1.3025219273598778,103.76309139206337,15260
NTSZ05,MONK'S HILL,1.308022354616984,103.84160296355266,1030
BDSZ07,SIGLAP,1.306590763776463,103.92708615974864,6440
CLSZ07,CLEMENTI WOODS,1.3040812285179137,103.76831866285038,16000
PNSZ05,PIONEER SECTOR,1.300449002041553,103.6614548137725,-
JESZ11,PENJURU CRESCENT,1.3038542316125974,103.74033689421645,10
NTSZ01,ORANGE GROVE,1.31005518288548,103.83033705257911,1790
KLSZ04,KAMPONG BUGIS,1.3081638861192428,103.87049587307898,920
QTSZ12,KENT RIDGE,1.2850998737440142,103.79256836461491,80
BMSZ06,ALEXANDRA NORTH,1.2922809419446528,103.82027415587204,2620
QTSZ04,TANGLIN HALT,1.300870587419264,103.79675555658802,10590
RCSZ06,MACKENZIE,1.3062401873869316,103.84841433557843,110
RCSZ03,SUNGEI ROAD,1.3056991013457864,103.85669288319126,2050
QTSZ08,ONE NORTH,1.2982462989139005,103.79091120501533,720
KLSZ05,TANJONG RHU,1.3005910457830008,103.8759107061609,11110
MPSZ02,KATONG,1.3072650473055665,103.90233511173969,9360
ORSZ02,BOULEVARD,1.3053727678215412,103.83257213001393,410
NTSZ06,ISTANA NEGARA,1.3053391290558327,103.84434220821461,60
RCSZ02,LITTLE INDIA,1.3067833500558044,103.85405265342759,3270
PNSZ04,GUL BASIN,1.30337704787048,103.67452040521236,10
DTSZ03,MARINA CENTRE,1.2918507513627875,103.85971863230544,10
MUSZ03,BRAS BASAH,1.2962611266237731,103.849456501195,10
ORSZ03,SOMERSET,1.301103239957552,103.83894851476104,140
RCSZ09,BENCOOLEN,1.3020047372600176,103.85128107184505,1310
TNSZ02,CHATSWORTH,1.29703459147278,103.82340220194406,6890
RCSZ05,KAMPONG GLAM,1.3022628967682635,103.85969079958433,120
RCSZ08,SELEGIE,1.302153153623915,103.84964812500935,210
RCSZ07,MOUNT EMILY,1.3024107030238945,103.84754485629543,1630
RCSZ04,ROCHOR CANAL,1.3040353228099177,103.85752347122535,-
QTSZ05,MARGARET DRIVE,1.2972244324492315,103.80818385969484,16090
RVSZ04,OXLEY,1.2971091225645626,103.84053750680106,1490
DTSZ02,CITY HALL,1.2924357661517758,103.85316804530322,80
QTSZ06,MEI CHIN,1.29347230246104,103.8032270069761,15570
RVSZ03,LEONIE HILL,1.2979398059789415,103.83406382935466,3120
QTSZ15,PORT,1.2766215676879145,103.77561185524051,120
MUSZ01,DHOBY GHAUT,1.2988498971692009,103.84518027039492,320
GLSZ02,MACPHERSON,1.3273677721500636,103.8852042550787,28360
TPSZ07,KIM KEAT,1.331887616347214,103.8586363593519,7960
BDSZ04,BEDOK NORTH,1.330427053357414,103.93601636519321,81840
TPSZ02,TOA PAYOH CENTRAL,1.332641043607604,103.84598592578412,28020
JESZ06,JURONG GATEWAY,1.3331070452340539,103.74268098562933,450
